Time (s),Servo Angle (degrees),Lever Angle (degrees),Disturbance Angle,Reward Delivered (0/1),Trial Number/Status
3117.8063039779663,0.0,14.1,0.0,0,31
3117.8167955875397,0.0,14.4,0.0,0,31
3117.8272795677185,0.0,14.5,0.0,0,31
3117.8377768993378,0.0,14.4,0.0,0,31
3117.848248243332,0.0,14.6,0.0,0,31
3117.858741044998,0.0,14.6,0.0,0,31
3117.8692212104797,0.0,14.8,0.0,0,31
3117.87970995903,0.0,15.1,0.0,0,31
3117.890182495117,0.0,14.7,0.0,0,31
3117.9006588459015,0.0,14.6,0.0,0,31
3117.911154270172,0.0,14.4,0.0,0,31
3117.9216294288635,0.0,14.2,0.0,0,31
3117.9321167469025,0.0,14.1,0.0,0,31
3117.9426009655,0.0,14.4,0.0,0,31
3117.953075170517,0.0,14.9,0.0,0,31
3117.9635651111603,0.0,15.4,0.0,0,31
3117.9740381240845,0.0,15.3,0.0,0,31
3117.9845328330994,0.0,15.7,0.0,0,31
3117.9950110912323,0.0,16.0,0.0,0,31
3118.0054988861084,0.0,15.8,0.0,0,31
3118.0159838199615,0.0,15.4,0.0,0,31
3118.0264592170715,0.0,15.3,0.0,0,31
3118.0369532108307,0.0,15.0,0.0,0,31
3118.047432422638,0.0,14.8,0.0,0,31
3118.0579228401184,0.0,14.4,0.0,0,31
3118.068395137787,0.0,14.2,0.0,0,31
3118.078882932663,0.0,14.3,0.0,0,31
3118.0893697738647,0.0,14.3,0.0,0,31
3118.0998454093933,0.0,14.6,0.0,0,31
3118.1103341579437,0.0,14.9,0.0,0,31
3118.120810985565,0.0,15.1,0.0,0,31
3118.1312975883484,0.0,15.4,0.0,0,31
3118.14178109169,0.0,15.3,0.0,0,31
3118.152270078659,0.0,15.2,0.0,0,31
3118.162747144699,0.0,15.3,0.0,0,31
3118.173234462738,0.0,15.3,0.0,1,31
3118.183896303177,0.0,15.2,0.0,0,31
3118.194399356842,0.0,14.9,0.0,0,31
3118.204887866974,0.0,14.3,0.0,0,31
3118.2153618335724,0.0,14.5,0.0,0,31
3118.2258520126343,0.0,14.7,0.0,0,31
3118.2363288402557,0.0,14.8,0.0,0,31
3118.246822118759,0.0,15.2,0.0,0,31
3118.257302761078,0.0,15.2,0.0,0,31
3118.2677779197693,0.0,15.3,0.0,0,31
3118.278224468231,0.0,15.3,0.0,0,31
3118.2887003421783,0.0,15.4,0.0,0,31
3118.2991762161255,0.0,15.7,0.0,0,31
3118.3096508979797,0.0,15.5,0.0,0,31
3118.3201422691345,0.0,14.9,0.0,0,31
3118.3306181430817,0.0,14.4,0.0,0,31
3118.3411135673523,0.0,13.9,0.0,0,31
3118.3515903949738,0.0,14.0,0.0,0,31
3118.3620676994324,0.0,14.5,0.0,0,31
3118.3725554943085,0.0,14.6,0.0,0,31
3118.383029937744,0.0,15.0,0.0,0,31
3118.3935182094574,0.0,15.2,0.0,0,31
3118.4039976596832,0.0,15.1,0.0,0,31
3118.414486646652,0.0,15.7,0.0,0,31
3118.4249908924103,0.0,15.8,0.0,0,31
3118.4354662895203,0.0,15.6,0.0,0,31
3118.4459569454193,0.0,15.2,0.0,0,31
3118.456432580948,0.0,14.8,0.0,0,31
3118.4669210910797,0.0,14.7,0.0,0,31
3118.47740983963,0.0,14.6,0.0,0,31
3118.487895011902,0.0,14.7,0.0,0,31
3118.4983632564545,0.0,15.1,0.0,0,31
3118.508836746216,0.0,15.0,0.0,0,31
3118.519322156906,0.0,14.9,0.0,0,31
3118.529796361923,0.0,15.1,0.0,0,31
3118.5402734279633,0.0,15.2,0.0,0,31
3118.5507526397705,0.0,15.3,0.0,0,31
3118.5612518787384,0.0,15.5,0.0,0,31
3118.571724653244,0.0,15.3,0.0,0,31
3118.582213640213,0.0,15.0,0.0,0,31
3118.592690706253,0.0,14.6,0.0,0,31
3118.60316491127,0.0,14.3,0.0,0,31
3118.613648891449,0.0,14.8,0.0,0,31
3118.624121427536,0.0,15.4,0.0,0,31
3118.6346089839935,0.0,15.9,0.0,0,31
3118.6450941562653,0.0,16.0,0.0,0,31
3118.655576467514,0.0,15.9,0.0,0,31
3118.6660392284393,0.0,16.2,0.0,0,31
3118.676533937454,0.0,16.3,0.0,0,31
3118.6870119571686,0.0,16.1,0.0,0,31
3118.6974902153015,0.0,15.9,0.0,0,31
3118.7079648971558,0.0,15.3,0.0,0,31
3118.718441724777,0.0,14.7,0.0,0,31
3118.7289175987244,0.0,14.7,0.0,0,31
3118.7393941879272,0.0,14.7,0.0,0,31
3118.7498869895935,0.0,15.1,0.0,0,31
3118.760331630707,0.0,15.1,0.0,0,31
3118.7708070278168,0.0,15.1,0.0,0,31
3118.781295776367,0.0,15.5,0.0,0,31
3118.7917749881744,0.0,15.5,0.0,0,31
3118.8022706508636,0.0,15.3,0.0,0,31
3118.8127467632294,0.0,15.8,0.0,0,31
3118.8234305381775,0.0,15.8,0.0,0,31
3118.8339097499847,0.0,15.9,0.0,0,31
3118.84441280365,0.0,15.9,0.0,0,31
3118.85489153862,0.0,15.4,0.0,0,31
3118.865367412567,0.0,15.1,0.0,0,31
3118.8758568763733,0.0,14.9,0.0,0,31
3118.8863322734833,0.0,15.1,0.0,0,31
3118.896822452545,0.0,15.4,0.0,0,31
3118.9072918891907,0.0,15.2,0.0,0,31
3118.9177656173706,0.0,15.4,0.0,0,31
3118.9282495975494,0.0,15.8,0.0,0,31
3118.9387242794037,0.0,15.8,0.0,0,31
3118.949214696884,0.0,15.9,0.0,0,31
3118.9596903324127,0.0,16.0,0.0,0,31
3118.970176935196,0.0,16.2,0.0,0,31
3118.98064994812,0.0,16.6,0.0,0,31
3118.9911363124847,0.0,16.6,0.0,0,31
3119.0016090869904,0.0,16.2,0.0,0,31
3119.012094259262,0.0,15.9,0.0,0,31
3119.0225722789764,0.0,15.5,0.0,0,31
3119.033046722412,0.0,15.5,0.0,0,31
